,open,close,high,low,total_turnover,volume
2009/2/27,4.6628,4.6628,4.6628,4.6628,0,0
2009/3/2,4.4601,4.7304,4.798,4.3858,801972762.3,163892312
2009/3/3,4.5311,4.5649,4.7169,4.5108,403854604.1,81739194
2009/3/4,4.5885,5.0109,5.021,4.5885,979017376,187724205
2009/3/5,5.0447,5.119,5.3217,4.9636,1382553957,252465804
2009/3/6,4.9838,5.0649,5.1866,4.9737,683511177.9,125631389
2009/3/9,5.1663,4.9602,5.2981,4.9027,851579610.8,155210865
2009/3/10,4.8825,5.0176,5.0176,4.8385,367283931.9,69500389
2009/3/11,5.2035,4.9534,5.2339,4.95,682414317.9,124747848
2009/3/12,4.9534,5.1089,5.1291,4.8723,514788841.3,96196668
2009/3/13,5.1291,5.0075,5.1562,4.9973,403403842.5,74252105
2009/3/16,4.9669,5.1528,5.2001,4.8926,625111120.8,114919307
2009/3/17,5.119,5.369,5.4231,5.0818,1034028310,182504711
2009/3/18,5.4062,5.3082,5.4332,5.2913,851286480.6,148686717
2009/3/19,5.315,5.3352,5.3927,5.1629,891205110.1,157733333
2009/3/20,5.2372,5.1798,5.2947,5.0683,974719525.1,176221882
2009/3/23,5.1055,5.271,5.2846,5.1055,1096019715,196640163
2009/3/24,5.3555,5.2947,5.4738,5.2879,1342706320,233062916
2009/3/25,5.2541,5.3386,5.4231,5.2406,773482641.5,134963245
2009/3/26,5.3555,5.5819,5.6089,5.3048,1161662467,198243838
2009/3/27,5.5751,5.5312,5.6258,5.4839,635156693.7,107150181
2009/3/30,5.5413,5.4197,5.5684,5.3488,650878096,112186623
2009/3/31,5.3048,5.3859,5.4366,5.2508,509961199.4,89427039
2009/4/1,5.4062,5.4738,5.5751,5.3994,653598010.9,111487521
2009/4/2,5.4839,5.6461,5.6934,5.4839,943747237.7,156447198
2009/4/3,5.6799,5.6596,5.8252,5.6089,1025483104,168018223
2009/4/7,5.6596,5.6258,5.8117,5.565,548561556.9,90352168
2009/4/8,5.592,5.4265,5.7103,5.4096,736657223.2,123918234
2009/4/9,5.4265,5.5245,5.5413,5.4163,499445892.5,85149122
2009/4/10,5.5751,5.6123,5.6191,5.4907,543590659.8,91138983
2009/4/13,5.636,5.6562,5.6934,5.5751,556322515,92307606
2009/4/14,5.6157,5.6292,5.663,5.5684,440280110.2,73260772
2009/4/15,5.6022,5.5076,5.6191,5.4062,689311800.7,117331971
2009/4/16,5.5008,5.5245,5.5582,5.3859,654320092,111786020
2009/4/17,5.4805,5.3656,5.4805,5.3555,665845165.5,115209979
2009/4/20,5.3555,5.4535,5.467,5.315,512547655.2,88646964
2009/4/21,5.3893,5.3352,5.4028,5.2204,556042926.9,97685054
2009/4/22,5.3488,5.1595,5.4298,5.1359,552663530.2,97223971
2009/4/23,5.1528,5.1393,5.2102,5.0683,335080479.4,60926275
2009/4/24,5.2136,5.1798,5.3927,5.1595,531858078.1,94031578
2009/4/27,5.119,5.119,5.2204,5.0717,314098809.1,57138745
2009/4/28,5.1291,5.271,5.3116,5.1291,585159196.6,103933527
2009/4/29,5.2744,5.5785,5.7204,5.2677,955554263,162319213
2009/4/30,5.5413,5.5143,5.6157,5.4434,559033029.4,94626416
